U_over_t,N,E_xc,vorticity,alpha,gamma
0.5,4,0.3510,47.35,0.007413,2.16
0.5,6,0.7248,442.68,0.001637,2.16
0.5,8,0.8943,519.10,0.001723,2.16
0.5,10,1.2077,1388.71,0.000870,2.16
1.0,4,0.6592,45.85,0.014378,2.12
1.0,6,1.3988,427.00,0.003276,2.12
1.0,8,1.7045,494.61,0.003446,2.12
1.0,10,2.3299,1330.83,0.001751,2.12
1.5,4,0.9309,44.00,0.021158,2.06
1.5,6,2.0212,401.63,0.005033,2.06
1.5,8,2.4345,458.87,0.005305,2.06
1.5,10,3.3639,1234.61,0.002725,2.06
2.0,4,1.1716,42.13,0.027808,1.97
2.0,6,2.5905,367.87,0.007042,1.97
2.0,8,3.0887,416.63,0.007414,1.97
2.0,10,4.3059,1102.87,0.003904,1.97
2.5,4,1.3853,40.41,0.034281,1.85
2.5,6,3.1058,327.99,0.009469,1.85
2.5,8,3.6721,372.13,0.009868,1.85
2.5,10,5.1514,945.39,0.005449,1.85
3.0,4,1.5756,38.91,0.040497,1.70
3.0,6,3.5666,285.24,0.012504,1.70
3.0,8,4.1903,328.73,0.012747,1.70
3.0,10,5.8982,780.80,0.007554,1.70
3.5,4,1.7454,37.64,0.046375,1.52
3.5,6,3.9742,243.27,0.016337,1.52
3.5,8,4.6487,288.69,0.016102,1.52
3.5,10,6.5486,630.40,0.010388,1.52
4.0,4,1.8973,36.59,0.051854,1.35
4.0,6,4.3313,205.21,0.021107,1.35
4.0,8,5.0533,253.33,0.019948,1.35
4.0,10,7.1099,507.54,0.014009,1.35
5.0,4,2.1557,35.05,0.061499,1.03
5.0,6,4.9123,146.77,0.033469,1.03
5.0,8,5.7246,197.85,0.028934,1.03
5.0,10,8.0108,345.34,0.023197,1.03
6.0,4,2.3654,34.08,0.069415,0.79
6.0,6,5.3515,110.74,0.048325,0.79
6.0,8,6.2481,160.29,0.038981,0.79
6.0,10,8.6897,257.46,0.033752,0.79
